date;time;user;nice;system;idle;iowait;irq;softirq
2022-10-29;17:30:24;3.7;0.0;19.3;71.1;0.0;2.1;3.7
2022-10-29;17:30:25;2.7;0.0;18.4;73.0;0.0;2.2;3.8
2022-10-29;17:30:26;3.5;0.0;23.5;66.5;0.0;2.5;4.0
2022-10-29;17:30:27;4.5;0.0;22.5;67.5;0.0;2.0;3.5
2022-10-29;17:30:28;6.0;0.0;28.5;59.5;0.0;2.0;4.0
2022-10-29;17:30:29;4.8;0.0;23.3;66.7;0.0;2.1;3.2
2022-10-29;17:30:30;3.0;0.0;23.9;67.0;0.0;2.0;4.1
2022-10-29;17:30:31;4.1;0.0;21.9;67.3;0.0;2.6;4.1
2022-10-29;17:30:32;5.6;0.0;24.5;64.3;0.0;2.0;3.6
2022-10-29;17:30:33;2.1;0.0;23.3;68.9;0.0;2.1;3.6
2022-10-29;17:30:34;3.7;0.0;19.0;70.9;0.0;2.1;4.2
2022-10-29;17:30:35;6.1;0.0;20.2;68.2;0.0;2.0;3.5
2022-10-29;17:30:36;4.4;0.0;24.1;65.0;0.0;2.5;3.9
2022-10-29;17:30:37;2.1;0.0;22.4;69.3;0.0;2.6;3.6
2022-10-29;17:30:38;4.9;0.0;24.0;65.7;0.0;2.0;3.4
2022-10-29;17:30:39;3.6;0.0;22.3;68.5;0.0;2.0;3.6
2022-10-29;17:30:40;4.1;0.0;20.9;68.4;0.0;2.6;4.1
2022-10-29;17:30:41;4.0;0.0;23.2;67.2;0.0;2.0;3.5
2022-10-29;17:30:42;4.5;0.0;23.7;66.2;0.0;2.0;3.5
2022-10-29;17:30:43;4.1;0.0;21.5;68.2;0.0;2.6;3.6
2022-10-29;17:30:44;2.5;0.0;24.9;66.7;0.0;2.0;4.0
2022-10-29;17:30:45;3.5;0.0;23.6;66.8;0.0;2.5;3.5
2022-10-29;17:30:46;4.9;0.0;19.1;69.4;0.0;2.2;4.4
2022-10-29;17:30:47;5.0;0.0;21.1;68.3;0.0;2.0;3.5
2022-10-29;17:30:48;4.6;0.0;21.0;68.7;0.0;2.1;3.6
2022-10-29;17:30:49;3.6;0.0;20.6;70.1;0.0;2.1;3.6
2022-10-29;17:30:50;10.6;0.0;28.8;54.5;0.0;2.0;4.0
2022-10-29;17:30:51;3.5;0.0;24.5;66.5;0.0;2.0;3.5
2022-10-29;17:30:52;4.7;0.0;19.8;69.8;0.0;2.1;3.6
2022-10-29;17:30:53;5.2;0.0;24.8;64.8;0.0;1.9;3.3
2022-10-29;17:30:54;4.0;0.0;23.8;66.3;0.0;2.0;4.0
2022-10-29;17:30:55;4.0;0.0;23.9;66.7;0.0;2.0;3.5
2022-10-29;17:30:56;2.4;0.0;25.9;65.4;0.0;2.4;3.9
2022-10-29;17:30:57;4.1;0.0;21.6;68.6;0.0;2.1;3.6
2022-10-29;17:30:58;4.1;0.0;20.5;68.7;0.0;2.6;4.1
2022-10-29;17:30:59;3.6;0.0;22.1;68.7;0.0;2.1;3.6
2022-10-29;17:31:00;3.6;0.0;22.2;68.0;0.0;2.1;4.1
2022-10-29;17:31:01;5.6;0.0;20.3;68.0;0.0;2.5;3.6
2022-10-29;17:31:02;1.5;0.0;25.5;67.3;0.0;2.0;3.6
2022-10-29;17:31:03;3.8;0.0;16.3;73.4;0.0;2.7;3.8
2022-10-29;17:31:04;6.6;0.0;19.9;67.3;0.0;2.0;4.1
2022-10-29;17:31:05;3.2;0.0;19.1;71.8;0.0;2.1;3.7
2022-10-29;17:31:06;3.5;0.0;23.1;67.3;0.0;2.0;4.0
2022-10-29;17:31:07;2.9;0.0;27.5;63.8;0.0;2.4;3.4
2022-10-29;17:31:08;5.6;0.0;21.7;66.7;0.0;2.0;4.0
2022-10-29;17:31:09;5.2;0.0;24.2;64.9;0.0;2.1;3.6
2022-10-29;17:31:10;2.5;0.0;24.1;66.8;0.0;2.5;4.0
2022-10-29;17:31:11;3.7;0.0;19.6;70.9;0.0;2.1;3.7
2022-10-29;17:31:12;4.1;0.0;22.8;66.3;0.0;2.6;4.1
2022-10-29;17:31:13;3.0;0.0;24.6;66.3;0.0;2.5;3.5
2022-10-29;17:31:14;2.2;0.0;20.0;71.9;0.0;2.2;3.8
2022-10-29;17:31:15;1.0;0.0;24.5;68.4;0.0;2.0;4.1
2022-10-29;17:31:16;5.6;0.0;21.0;66.7;0.0;2.6;4.1
2022-10-29;17:31:17;2.0;0.0;24.0;68.4;0.0;2.0;3.6
2022-10-29;17:31:18;7.0;0.0;28.5;58.5;0.0;2.5;3.5
2022-10-29;17:31:19;4.5;0.0;22.1;67.3;0.0;2.0;4.0
2022-10-29;17:31:20;3.6;0.0;23.4;67.0;0.0;2.5;3.6
2022-10-29;17:31:21;4.0;0.0;23.5;66.5;0.0;2.0;4.0
2022-10-29;17:31:22;3.7;0.0;20.4;69.6;0.0;2.6;3.7
2022-10-29;17:31:23;3.2;0.0;21.1;69.5;0.0;2.1;4.2
2022-10-29;17:31:24;3.2;0.0;18.6;71.3;0.0;2.7;4.3
2022-10-29;17:31:25;4.7;0.0;19.8;69.8;0.0;2.1;3.6
2022-10-29;17:31:26;3.8;0.0;17.9;71.7;0.0;2.2;4.3
2022-10-29;17:31:27;3.1;0.0;22.1;68.7;0.0;2.6;3.6
2022-10-29;17:31:28;3.0;0.0;25.0;66.0;0.0;2.5;3.5
2022-10-29;17:31:29;3.1;0.0;22.2;68.6;0.0;2.1;4.1
2022-10-29;17:31:30;2.5;0.0;25.0;66.5;0.0;2.5;3.5
2022-10-29;17:31:31;3.0;0.0;24.6;66.8;0.0;2.0;3.5
2022-10-29;17:31:32;2.6;0.0;21.5;69.1;0.0;2.6;4.2
2022-10-29;17:31:33;4.4;0.0;16.4;73.2;0.0;2.2;3.8
2022-10-29;17:31:34;4.1;0.0;22.4;66.8;0.0;2.6;4.1
2022-10-29;17:31:35;2.1;0.0;24.1;68.2;0.0;2.1;3.6
2022-10-29;17:31:36;3.6;0.0;21.8;67.9;0.0;2.6;4.1
2022-10-29;17:31:37;4.1;0.0;21.6;68.0;0.0;2.1;4.1
2022-10-29;17:31:38;1.1;0.0;23.3;69.8;0.0;2.1;3.7
2022-10-29;17:31:39;3.0;0.0;23.4;67.5;0.0;2.5;3.6
2022-10-29;17:31:40;2.1;0.0;21.3;70.2;0.0;2.1;4.3
2022-10-29;17:31:41;2.1;0.0;21.9;70.3;0.0;2.1;3.6
2022-10-29;17:31:42;4.7;0.0;21.9;66.7;0.0;2.6;4.2
2022-10-29;17:31:43;3.6;0.0;22.8;68.0;0.0;2.0;3.6
2022-10-29;17:31:44;1.5;0.0;24.4;67.5;0.0;2.5;4.1
2022-10-29;17:31:45;4.4;0.0;24.6;65.0;0.0;2.5;3.4
2022-10-29;17:31:46;2.6;0.0;23.6;67.7;0.0;2.1;4.1
2022-10-29;17:31:47;3.1;0.0;21.4;69.3;0.0;2.6;3.6
2022-10-29;17:31:48;3.1;0.0;23.1;67.2;0.0;2.6;4.1
2022-10-29;17:31:49;2.7;0.0;20.2;71.3;0.0;2.1;3.7
2022-10-29;17:31:50;4.1;0.0;21.6;68.0;0.0;2.6;3.6
2022-10-29;17:31:51;13.4;0.0;24.6;56.7;0.0;1.6;3.7
2022-10-29;17:31:52;2.1;0.0;21.6;69.5;0.0;2.6;4.2
2022-10-29;17:31:53;3.0;0.0;23.7;67.7;0.0;2.0;3.5
2022-10-29;17:31:54;4.0;0.0;23.0;66.5;0.0;2.5;4.0
2022-10-29;17:31:55;4.2;0.0;21.9;68.2;0.0;2.1;3.6
2022-10-29;17:31:56;4.6;0.0;20.6;68.0;0.0;2.6;4.1
2022-10-29;17:31:57;2.0;0.0;25.1;67.3;0.0;2.0;3.5
2022-10-29;17:31:58;2.7;0.0;18.6;71.6;0.0;2.7;4.4
